destination_id,name,category,country,distance_km,estimated_cost_per_day,rating,best_season,population,attractions_count,restaurants_count,activities,highlights
d1,Paris,CULTURAL,France,4708,97.4,5.0,"Apr-May, Sep-Oct",Medium,26,157,"Nightlife, Adventure, Culture","Local Markets, Ancient Ruins, Mountain Views"
d2,Paris - Option 2,CULTURAL,France,5343,91.07,4.9,"Apr-May, Sep-Oct",Large,31,179,"Water Sports, Adventure, Photography","Ancient Ruins, Local Cuisine, Museums"
d3,Paris - Option 3,CULTURAL,France,4673,99.9,5.0,"Apr-May, Sep-Oct",Mega,28,312,"Hiking, Nightlife, Yoga","Street Food, Mountain Views, Natural Beauty"
d4,Rome,HISTORICAL,Italy,5146,84.92,4.9,"Apr-May, Sep-Oct",Large,26,158,"Swimming, Yoga, Mountain Activities","Beach Paradise, Local Markets, Cultural Sites"
d5,Rome - Option 2,HISTORICAL,Italy,4775,78.86,4.7,"Apr-May, Sep-Oct",Mega,27,238,"Adventure, Urban Exploration, Swimming","Cultural Sites, Beach Paradise, Ancient Ruins"
d6,Rome - Option 3,HISTORICAL,Italy,4952,83.37,4.9,"Apr-May, Sep-Oct",Mega,13,446,"History, Hiking, Adventure","Scenic Trails, Modern Architecture, Street Food"
d7,Barcelona,CULTURAL,Spain,5233,76.85,4.7,"May-Jun, Sep-Oct",Large,32,245,"Urban Exploration, Mountain Activities, Culture","Temples, Natural Beauty, Modern Architecture"
d8,Barcelona - Option 2,CULTURAL,Spain,5079,72.59,4.6,"May-Jun, Sep-Oct",Mega,19,458,"Photography, Nightlife, Food","Local Markets, Natural Beauty, Museums"
d9,Barcelona - Option 3,CULTURAL,Spain,5905,76.1,4.7,"May-Jun, Sep-Oct",Small,10,60,"Photography, History, Swimming","Street Food, Temples, Mountain Views"
d10,Prague,CULTURAL,Czech Republic,6552,54.76,4.6,"Apr-May, Sep-Oct",Mega,10,167,"Meditation, Swimming, Yoga","Natural Beauty, Mountain Views, Street Food"
d11,Prague - Option 2,CULTURAL,Czech Republic,6574,51.44,4.7,"Apr-May, Sep-Oct",Large,38,489,"Nightlife, Food, Yoga","Local Cuisine, Modern Architecture, Cultural Sites"
d12,Prague - Option 3,CULTURAL,Czech Republic,5824,45.49,4.7,"Apr-May, Sep-Oct",Large,35,147,"Food, Beach Activities, History","UNESCO Sites, Local Markets, Cultural Sites"
d13,Amsterdam,CULTURAL,Netherlands,4767,85.38,4.6,"Apr-May, Sep-Oct",Mega,16,344,"Meditation, Beach Activities, Yoga","Scenic Trails, Street Food, Art Galleries"
d14,Amsterdam - Option 2,CULTURAL,Netherlands,5625,81.65,4.6,"Apr-May, Sep-Oct",Medium,16,166,"Meditation, Urban Exploration, Adventure","Local Cuisine, Local Markets, Cultural Sites"
d15,Amsterdam - Option 3,CULTURAL,Netherlands,5613,81.37,4.5,"Apr-May, Sep-Oct",Medium,32,346,"Photography, Adventure, Swimming","Museums, Temples, Ancient Ruins"
d16,Berlin,HISTORICAL,Germany,5667,66.6,4.6,"Apr-May, Sep-Oct",Medium,24,457,"Hiking, Mountain Activities, Shopping","Ancient Ruins, Scenic Trails, Museums"
d17,Berlin - Option 2,HISTORICAL,Germany,5981,71.48,4.5,"Apr-May, Sep-Oct",Medium,20,129,"Water Sports, Hiking, Photography","Art Galleries, Local Cuisine, Temples"
d18,Berlin - Option 3,HISTORICAL,Germany,5375,66.49,4.6,"Apr-May, Sep-Oct",Medium,12,341,"Adventure, Yoga, Shopping","Beach Paradise, Ancient Ruins, Scenic Trails"
d19,Vienna,CULTURAL,Austria,6412,73.53,4.8,Apr-Oct,Mega,24,279,"Adventure, Hiking, Water Sports","Beach Paradise, Natural Beauty, Museums"
d20,Vienna - Option 2,CULTURAL,Austria,6028,72.31,4.7,Apr-Oct,Medium,24,63,"Yoga, Beach Activities, Nightlife","Temples, Modern Architecture, Street Food"
d21,Vienna - Option 3,CULTURAL,Austria,6078,74.25,4.6,Apr-Oct,Large,33,189,"Photography, Meditation, Beach Activities","UNESCO Sites, Ancient Ruins, Museums"
d22,Barcelona Beach,BEACH,Spain,5478,86.27,4.5,May-Oct,Mega,27,194,"Urban Exploration, Mountain Activities, Hiking","Local Markets, Modern Architecture, Scenic Trails"
d23,Barcelona Beach - Option 2,BEACH,Spain,5366,87.25,4.4,May-Oct,Medium,26,321,"Swimming, Water Sports, History","Beach Paradise, Museums, Modern Architecture"
d24,Barcelona Beach - Option 3,BEACH,Spain,5089,80.2,4.5,May-Oct,Medium,27,197,"Meditation, History, Water Sports","Local Markets, Art Galleries, UNESCO Sites"
d25,Venice,CULTURAL,Italy,4951,90.62,4.9,"Apr-May, Sep-Oct",Large,38,346,"Yoga, Shopping, Adventure","Scenic Trails, Local Markets, Art Galleries"
d26,Venice - Option 2,CULTURAL,Italy,5029,86.86,4.8,"Apr-May, Sep-Oct",Medium,30,158,"Photography, Mountain Activities, Shopping","Street Food, Temples, Mountain Views"
d27,Venice - Option 3,CULTURAL,Italy,5403,94.12,4.8,"Apr-May, Sep-Oct",Large,10,310,"Urban Exploration, Water Sports, Swimming","Street Food, Modern Architecture, Local Markets"
d28,Athens,HISTORICAL,Greece,5278,64.68,4.7,"Apr-May, Sep-Oct",Mega,35,310,"Food, Mountain Activities, Meditation","Mountain Views, Temples, Art Galleries"
d29,Athens - Option 2,HISTORICAL,Greece,5107,65.6,4.7,"Apr-May, Sep-Oct",Mega,18,360,"Swimming, History, Adventure","Temples, Local Cuisine, Cultural Sites"
d30,Athens - Option 3,HISTORICAL,Greece,4399,65.24,4.7,"Apr-May, Sep-Oct",Mega,16,184,"Mountain Activities, Meditation, Nightlife","Museums, Scenic Trails, Local Markets"
d31,Tokyo,URBAN,Japan,8650,101.84,4.6,"Mar-May, Sep-Nov",Medium,22,494,"Shopping, Yoga, Meditation","Art Galleries, UNESCO Sites, Modern Architecture"
d32,Tokyo - Option 2,URBAN,Japan,8735,98.26,4.6,"Mar-May, Sep-Nov",Mega,26,145,"Urban Exploration, Photography, Swimming","Natural Beauty, Local Markets, Temples"
d33,Tokyo - Option 3,URBAN,Japan,8643,100.96,4.6,"Mar-May, Sep-Nov",Medium,23,430,"Beach Activities, Meditation, Nightlife","Art Galleries, Modern Architecture, Local Markets"
d34,Bangkok,URBAN,Thailand,3192,46.09,4.5,Nov-Feb,Small,18,219,"Nightlife, Adventure, Culture","Temples, Ancient Ruins, Beach Paradise"
