restaurant_id,name,cuisine_type,rating,price_range,location,average_cost,reviews_count,dietary_options,specialties,opening_hours
r1,Bella Italia,ITALIAN,8.7,Medium,Mountain View,58.23,145,"Halal, Gluten-free, Vegan, Kosher","Pizza, Risotto, Pasta",11 AM - 11 PM
r2,Italian 2,ITALIAN,9.6,Medium,Harbor,52.13,431,"Vegan, Gluten-free","Seafood Pasta, Risotto, Pizza",11 AM - 10 PM
r3,Italian Kitchen 3,ITALIAN,9.9,High,Mountain View,92.14,487,"Vegetarian, Vegan","Pizza, Pasta, Seafood Pasta",11 AM - 11 PM
r4,Italian 4,ITALIAN,8.9,Medium,Riverside,41.43,783,Organic,"Seafood Pasta, Risotto, Pizza",11 AM - 11 PM
r5,Roma 5,ITALIAN,9.0,Medium,Beach Area,37.86,788,"Organic, Vegetarian","Risotto, Pizza, Pasta",10 AM - 10 PM
r6,Italian House 6,ITALIAN,8.6,Low,Tech Park,28.09,446,"Halal, Gluten-free, Vegan, Kosher","Risotto, Pizza, Seafood Pasta",12 AM - 10 PM
r7,Italian 7,ITALIAN,8.7,Very High,Financial District,168.32,413,"Vegan, Gluten-free","Pizza, Pasta, Seafood Pasta",10 AM - 10 PM
r8,Roma 8,ITALIAN,9.3,High,Financial District,61.2,683,"Organic, Vegetarian","Pasta, Risotto, Pizza",10 AM - 11 PM
r9,Bella Italia 9,ITALIAN,8.6,Low,Financial District,22.82,340,"Vegan, Gluten-free","Seafood Pasta, Pasta, Risotto",10 AM - 10 PM
r10,Italian 10,ITALIAN,9.0,Low,Financial District,26.24,524,"Gluten-free, Low-Carb","Risotto, Pizza, Pasta",10 AM - 10 PM
r11,Italian House 11,ITALIAN,9.7,Very High,Beach Area,111.02,256,Organic,"Pizza, Seafood Pasta, Risotto",9 AM - 10 PM
r12,Italian House 12,ITALIAN,8.6,Low,Financial District,29.12,612,"Organic, Kosher, Low-Carb","Risotto, Seafood Pasta, Pizza",11 AM - 11 PM
r13,Roma,ITALIAN,8.7,High,University Area,74.75,293,"Organic, Vegetarian","Risotto, Pasta, Seafood Pasta",11 AM - 11 PM
r14,Bella Italia 14,ITALIAN,9.7,Low,Uptown,24.69,471,"Vegetarian, Vegan","Pasta, Seafood Pasta, Pizza",12 AM - 11 PM
r15,The Italian Place 15,ITALIAN,9.7,Very High,Financial District,136.03,300,"Vegetarian, Vegan","Pasta, Seafood Pasta, Risotto",10 AM - 10 PM
r16,Italian 16,ITALIAN,8.6,Very High,Downtown,182.88,362,"Organic, Kosher, Low-Carb","Risotto, Pasta, Pizza",9 AM - 10 PM
r17,Italian 17,ITALIAN,9.6,Medium,Uptown,49.29,902,"Halal, Kosher","Seafood Pasta, Pasta, Risotto",9 AM - 10 PM
r18,Italian 18,ITALIAN,9.0,High,Mountain View,74.87,53,"Vegetarian, Vegan","Pasta, Pizza, Seafood Pasta",12 AM - 10 PM
r19,Italian House,ITALIAN,9.2,Very High,Chinatown,120.21,534,"Vegan, Gluten-free","Pasta, Pizza, Risotto",10 AM - 11 PM
r20,Bella Italia 20,ITALIAN,9.8,Medium,Financial District,58.79,462,Organic,"Risotto, Pizza, Seafood Pasta",9 AM - 10 PM
r21,Italian House 21,ITALIAN,9.5,Very High,Chinatown,186.46,927,"Halal, Gluten-free, Vegan, Kosher","Pizza, Risotto, Seafood Pasta",9 AM - 11 PM
r22,Italian 22,ITALIAN,9.1,Medium,Beach Area,31.22,380,"Gluten-free, Low-Carb","Pasta, Risotto, Seafood Pasta",10 AM - 11 PM
r23,Trattoria 23,ITALIAN,9.9,Medium,Financial District,45.47,74,"Organic, Vegetarian","Pizza, Risotto, Pasta",9 AM - 11 PM
r24,Trattoria 24,ITALIAN,9.3,Low,Mountain View,25.53,336,"Halal, Kosher","Seafood Pasta, Risotto, Pizza",9 AM - 10 PM
r25,Italian Kitchen,ITALIAN,8.6,Very High,Chinatown,184.45,786,"Vegetarian, Vegan","Pizza, Seafood Pasta, Risotto",12 AM - 10 PM
r26,Trattoria 26,ITALIAN,9.4,Medium,Harbor,47.52,388,"Vegan, Gluten-free","Seafood Pasta, Risotto, Pasta",10 AM - 11 PM
r27,Italian Kitchen 27,ITALIAN,9.2,Medium,Mountain View,48.94,373,"Vegan, Gluten-free","Pizza, Seafood Pasta, Risotto",10 AM - 10 PM
r28,Italian 28,ITALIAN,9.6,Medium,Beach Area,58.08,89,"Gluten-free, Low-Carb","Risotto, Pasta, Seafood Pasta",10 AM - 11 PM
r29,Bella Italia 29,ITALIAN,9.3,Low,Mountain View,24.54,435,"Organic, Vegetarian","Pizza, Risotto, Seafood Pasta",9 AM - 11 PM
