expense_id,user_id,category,amount,currency,description,date,location,tags
exp1,user_001,SHOPPING,43.32,USD,Shopping in Arts District,2024-01-01,Arts District,shopping
exp2,user_002,ACCOMMODATION,184.17,USD,Hotel/Hostel in Downtown,2024-01-02,Downtown,travel
exp3,user_003,TRANSPORT,10.7,USD,Taxi/Bus/Train rides in Uptown,2024-01-03,Uptown,travel
exp4,user_004,NIGHTLIFE,80.35,USD,Bar/Club in Plaza District,2024-01-04,Plaza District,nightlife
exp5,user_005,SHOPPING,97.88,USD,Shopping in Downtown,2024-01-05,Downtown,shopping
exp6,user_006,ACTIVITIES,133.66,USD,Tour/Adventure activity in Plaza District,2024-01-06,Plaza District,activities
exp7,user_007,FOOD,46.91,USD,Lunch at restaurant in Plaza District,2024-01-07,Plaza District,meal
exp8,user_008,NIGHTLIFE,21.4,USD,Bar/Club in Chinatown,2024-01-08,Chinatown,nightlife
exp9,user_009,ENTERTAINMENT,144.79,USD,Concert/Movie/Show in Midtown,2024-01-09,Midtown,entertainment
exp10,user_010,SHOPPING,30.96,USD,Shopping in Beach Area,2024-01-10,Beach Area,shopping
exp11,user_011,DINING,59.26,USD,Dining experience in Arts District,2024-01-11,Arts District,meal
exp12,user_012,FOOD,34.01,USD,Street food in Arts District,2024-01-12,Arts District,meal
exp13,user_013,ENTERTAINMENT,86.43,USD,Concert/Movie/Show in Plaza District,2024-01-13,Plaza District,entertainment
exp14,user_014,DINING,62.4,USD,Dining experience in Beach Area,2024-01-14,Beach Area,meal
exp15,user_015,SHOPPING,151.52,USD,Shopping in Chinatown,2024-01-15,Chinatown,shopping
exp16,user_016,SHOPPING,79.96,USD,Shopping in Midtown,2024-01-16,Midtown,shopping
exp17,user_017,ENTERTAINMENT,33.06,USD,Concert/Movie/Show in Beach Area,2024-01-17,Beach Area,entertainment
exp18,user_018,ACCOMMODATION,271.64,USD,Hotel/Hostel in Uptown,2024-01-18,Uptown,travel
exp19,user_019,SHOPPING,71.39,USD,Shopping in Harbor,2024-01-19,Harbor,shopping
exp20,user_020,DINING,33.27,USD,Dining experience in Harbor,2024-01-20,Harbor,meal
exp21,user_021,ACTIVITIES,195.49,USD,Tour/Adventure activity in Uptown,2024-01-21,Uptown,activities
exp22,user_022,ACTIVITIES,87.55,USD,Tour/Adventure activity in Arts District,2024-01-22,Arts District,activities
exp23,user_023,NIGHTLIFE,74.39,USD,Bar/Club in Suburban,2024-01-23,Suburban,nightlife
exp24,user_024,FOOD,30.33,USD,Street food in Plaza District,2024-01-24,Plaza District,meal
exp25,user_025,TRANSPORT,87.77,USD,Taxi/Bus/Train rides in Downtown,2024-01-25,Downtown,travel
exp26,user_026,ACCOMMODATION,281.07,USD,Hotel/Hostel in Chinatown,2024-01-26,Chinatown,travel
exp27,user_027,FOOD,67.6,USD,Street food in Chinatown,2024-01-27,Chinatown,meal
exp28,user_028,ACCOMMODATION,101.14,USD,Hotel/Hostel in Plaza District,2024-01-28,Plaza District,travel
exp29,user_029,ACTIVITIES,194.33,USD,Tour/Adventure activity in Uptown,2024-01-29,Uptown,activities
exp30,user_030,ACTIVITIES,159.04,USD,Tour/Adventure activity in Chinatown,2024-01-30,Chinatown,activities
exp31,user_031,FOOD,56.23,USD,Snack in Downtown,2024-01-31,Downtown,meal
exp32,user_032,ACTIVITIES,49.6,USD,Tour/Adventure activity in Plaza District,2024-02-01,Plaza District,activities
exp33,user_033,NIGHTLIFE,85.23,USD,Bar/Club in Plaza District,2024-02-02,Plaza District,nightlife
exp34,user_034,NIGHTLIFE,81.69,USD,Bar/Club in Midtown,2024-02-03,Midtown,nightlife
exp35,user_035,ENTERTAINMENT,146.61,USD,Concert/Movie/Show in Plaza District,2024-02-04,Plaza District,entertainment
exp36,user_036,ACTIVITIES,111.9,USD,Tour/Adventure activity in Plaza District,2024-02-05,Plaza District,activities
exp37,user_037,ACTIVITIES,147.29,USD,Tour/Adventure activity in Arts District,2024-02-06,Arts District,activities
exp38,user_038,ACTIVITIES,40.26,USD,Tour/Adventure activity in Suburban,2024-02-07,Suburban,activities
exp39,user_039,ACTIVITIES,56.63,USD,Tour/Adventure activity in Arts District,2024-02-08,Arts District,activities
exp40,user_040,ACTIVITIES,61.01,USD,Tour/Adventure activity in Uptown,2024-02-09,Uptown,activities
exp41,user_041,FOOD,69.77,USD,Lunch at restaurant in Old Town,2024-02-10,Old Town,meal
exp42,user_042,SHOPPING,121.67,USD,Shopping in Arts District,2024-02-11,Arts District,shopping
exp43,user_043,ENTERTAINMENT,47.01,USD,Concert/Movie/Show in Harbor,2024-02-12,Harbor,entertainment
exp44,user_044,ACCOMMODATION,122.31,USD,Hotel/Hostel in Old Town,2024-02-13,Old Town,travel
exp45,user_045,TRANSPORT,75.56,USD,Taxi/Bus/Train rides in Chinatown,2024-02-14,Chinatown,travel
exp46,user_046,FOOD,9.18,USD,Dessert in Plaza District,2024-02-15,Plaza District,meal
exp47,user_047,ACCOMMODATION,93.02,USD,Hotel/Hostel in Chinatown,2024-02-16,Chinatown,travel
exp48,user_048,FOOD,61.63,USD,Snack in Downtown,2024-02-17,Downtown,meal
exp49,user_049,SHOPPING,150.83,USD,Shopping in Plaza District,2024-02-18,Plaza District,shopping
exp50,user_050,TRANSPORT,43.35,USD,Taxi/Bus/Train rides in Midtown,2024-02-19,Midtown,travel
exp51,user_001,ACTIVITIES,171.89,USD,Tour/Adventure activity in Chinatown,2024-02-20,Chinatown,activities
exp52,user_002,TRANSPORT,34.06,USD,Taxi/Bus/Train rides in Old Town,2024-02-21,Old Town,travel
exp53,user_003,DINING,61.57,USD,Dining experience in Uptown,2024-02-22,Uptown,meal
exp54,user_004,ACCOMMODATION,212.91,USD,Hotel/Hostel in Downtown,2024-02-23,Downtown,travel
exp55,user_005,ENTERTAINMENT,56.23,USD,Concert/Movie/Show in Harbor,2024-02-24,Harbor,entertainment
exp56,user_006,ENTERTAINMENT,54.2,USD,Concert/Movie/Show in Midtown,2024-02-25,Midtown,entertainment
exp57,user_007,ACTIVITIES,27.73,USD,Tour/Adventure activity in Midtown,2024-02-26,Midtown,activities
exp58,user_008,TRANSPORT,13.15,USD,Taxi/Bus/Train rides in Plaza District,2024-02-27,Plaza District,travel
exp59,user_009,FOOD,54.75,USD,Snack in Midtown,2024-02-28,Midtown,meal
exp60,user_010,SHOPPING,172.17,USD,Shopping in Suburban,2024-02-29,Suburban,shopping
exp61,user_011,ACTIVITIES,76.21,USD,Tour/Adventure activity in Harbor,2024-03-01,Harbor,activities
exp62,user_012,ACTIVITIES,166.17,USD,Tour/Adventure activity in Downtown,2024-03-02,Downtown,activities
exp63,user_013,ENTERTAINMENT,46.85,USD,Concert/Movie/Show in Chinatown,2024-03-03,Chinatown,entertainment
